RuleID,Category,Requirement,RequiredInComprehensiveSmoke,RequiredInDeepAcceptance,EvidenceCSV,Operator,Threshold,FailureCode
FSR-0054,Component,"COMP-0015 UL CP-OFDM modulation is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0015),PASS,FULLSTACK:ULCPOFDMmodulationFailed
FSR-0055,Component,"COMP-0016 UL DFT-s-OFDM spreading is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0016),PASS,FULLSTACK:ULDFTsOFDMspreadingFailed
FSR-0056,Component,"COMP-0017 Pi over 2 BPSK is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0017),PASS,FULLSTACK:Piover2BPSKFailed
FSR-0057,Component,"COMP-0018 Subcarrier to FFT mapping is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0018),PASS,FULLSTACK:SubcarriertoFFTmappingFailed
FSR-0058,Component,"COMP-0019 Continuous stream state is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0019),PASS,FULLSTACK:ContinuousstreamstateFailed
FSR-0059,Component,"COMP-0020 Power and Parseval ledger is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0020),PASS,FULLSTACK:PowerandParsevalledgerFailed
FSR-0060,Component,"COMP-0021 PAPR and CCDF is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0021),PASS,FULLSTACK:PAPRandCCDFFailed
FSR-0061,Component,"COMP-0022 PSD and OOB measurement is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0022),PASS,FULLSTACK:PSDandOOBmeasurementFailed
FSR-0062,Component,"COMP-0023 Decoded DL assignment is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0023),PASS,FULLSTACK:DecodedDLassignmentFailed
FSR-0063,Component,"COMP-0024 DL-SCH CRC segmentation LDPC is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0024),PASS,FULLSTACK:DLSCHCRCsegmentationLDPCFailed
FSR-0064,Component,"COMP-0025 PDSCH scrambling modulation is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0025),PASS,FULLSTACK:PDSCHscramblingmodulationFailed
FSR-0065,Component,"COMP-0026 PDSCH resource mapping is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0026),PASS,FULLSTACK:PDSCHresourcemappingFailed
FSR-0066,Component,"COMP-0027 PDSCH DMRS is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0027),PASS,FULLSTACK:PDSCHDMRSFailed
FSR-0067,Component,"COMP-0028 PDSCH PTRS is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0028),PASS,FULLSTACK:PDSCHPTRSFailed
FSR-0068,Component,"COMP-0029 PDSCH precoding PRG is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0029),PASS,FULLSTACK:PDSCHprecodingPRGFailed
FSR-0069,Component,"COMP-0030 DL HARQ is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0030),PASS,FULLSTACK:DLHARQFailed
FSR-0070,Component,"COMP-0031 DL receiver is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0031),PASS,FULLSTACK:DLreceiverFailed
FSR-0071,Component,"COMP-0032 Decoded UL assignment is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0032),PASS,FULLSTACK:DecodedULassignmentFailed
FSR-0072,Component,"COMP-0033 UL-SCH CRC segmentation LDPC is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0033),PASS,FULLSTACK:ULSCHCRCsegmentationLDPCFailed
FSR-0073,Component,"COMP-0034 UCI on PUSCH is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0034),PASS,FULLSTACK:UCIonPUSCHFailed
FSR-0074,Component,"COMP-0035 PUSCH DMRS is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0035),PASS,FULLSTACK:PUSCHDMRSFailed
FSR-0075,Component,"COMP-0036 PUSCH PTRS is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0036),PASS,FULLSTACK:PUSCHPTRSFailed
FSR-0076,Component,"COMP-0037 Transform precoding is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0037),PASS,FULLSTACK:TransformprecodingFailed
FSR-0077,Component,"COMP-0038 Frequency hopping is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0038),PASS,FULLSTACK:FrequencyhoppingFailed
FSR-0078,Component,"COMP-0039 SRS precoder authority is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0039),PASS,FULLSTACK:SRSprecoderauthorityFailed
FSR-0079,Component,"COMP-0040 UL power application is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0040),PASS,FULLSTACK:ULpowerapplicationFailed
FSR-0080,Component,"COMP-0041 UL receiver is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0041),PASS,FULLSTACK:ULreceiverFailed
FSR-0081,Component,"COMP-0042 DCI schema engine is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0042),PASS,FULLSTACK:DCIschemaengineFailed
FSR-0082,Component,"COMP-0043 CRC24C RNTI mask is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0043),PASS,FULLSTACK:CRC24CRNTImaskFailed
FSR-0083,Component,"COMP-0044 Polar coding and rate matching is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0044),PASS,FULLSTACK:PolarcodingandratematchingFailed
FSR-0084,Component,"COMP-0045 CORESET mapping is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0045),PASS,FULLSTACK:CORESETmappingFailed
FSR-0085,Component,"COMP-0046 Search-space monitoring is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0046),PASS,FULLSTACK:SearchspacemonitoringFailed
FSR-0086,Component,"COMP-0047 Blind candidate search is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0047),PASS,FULLSTACK:BlindcandidatesearchFailed
FSR-0087,Component,"COMP-0048 Type-0 CSS is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0048),PASS,FULLSTACK:Type0CSSFailed
FSR-0088,Component,"COMP-0049 Grant authority is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0049),PASS,FULLSTACK:GrantauthorityFailed
FSR-0089,Component,"COMP-0050 Typed UCI report is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0050),PASS,FULLSTACK:TypedUCIreportFailed
FSR-0090,Component,"COMP-0051 UCI serialization and coding is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0051),PASS,FULLSTACK:UCIserializationandcodingFailed
FSR-0091,Component,"COMP-0052 HARQ-ACK codebook is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0052),PASS,FULLSTACK:HARQACKcodebookFailed
FSR-0092,Component,"COMP-0053 Scheduling request is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0053),PASS,FULLSTACK:SchedulingrequestFailed
FSR-0093,Component,"COMP-0054 CSI on PUCCH is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0054),PASS,FULLSTACK:CSIonPUCCHFailed
FSR-0094,Component,"COMP-0055 Formats 0 to 4 is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0055),PASS,FULLSTACK:Formats0to4Failed
FSR-0095,Component,"COMP-0056 Resource set and PRI is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0056),PASS,FULLSTACK:ResourcesetandPRIFailed
FSR-0096,Component,"COMP-0057 K1 and TDD is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0057),PASS,FULLSTACK:K1andTDDFailed
FSR-0097,Component,"COMP-0058 PUCCH power and spatial relation is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0058),PASS,FULLSTACK:PUCCHpowerandspatialrelationFailed
FSR-0098,Component,"COMP-0059 SSB case and burst is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0059),PASS,FULLSTACK:SSBcaseandburstFailed
FSR-0099,Component,"COMP-0060 PSS/SSS blind search is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0060),PASS,FULLSTACK:PSSSSSblindsearchFailed
FSR-0100,Component,"COMP-0061 PBCH/MIB is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0061),PASS,FULLSTACK:PBCHMIBFailed
FSR-0101,Component,"COMP-0062 SIB1 Type-0 scheduling is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0062),PASS,FULLSTACK:SIB1Type0schedulingFailed
FSR-0102,Component,"COMP-0063 SIB1 ASN.1 is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0063),PASS,FULLSTACK:SIB1ASN1Failed
FSR-0103,Component,"COMP-0064 PRACH config and occasions is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0064),PASS,FULLSTACK:PRACHconfigandoccasionsFailed
FSR-0104,Component,"COMP-0065 SSB to RO association is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0065),PASS,FULLSTACK:SSBtoROassociationFailed
FSR-0105,Component,"COMP-0066 RAR Msg2 is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0066),PASS,FULLSTACK:RARMsg2Failed
FSR-0106,Component,"COMP-0067 Msg3 HARQ is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0067),PASS,FULLSTACK:Msg3HARQFailed
FSR-0107,Component,"COMP-0068 Msg4 contention and RRC complete is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0068),PASS,FULLSTACK:Msg4contentionandRRCcompleteFailed
FSR-0108,Component,"COMP-0069 Common RS ownership is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0069),PASS,FULLSTACK:CommonRSownershipFailed
FSR-0109,Component,"COMP-0070 CSI-RS and CSI-IM is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0070),PASS,FULLSTACK:CSIRSandCSIIMFailed
FSR-0110,Component,"COMP-0071 SRS resource and receiver is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0071),PASS,FULLSTACK:SRSresourceandreceiverFailed
FSR-0111,Component,"COMP-0072 TRS tracking is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0072),PASS,FULLSTACK:TRStrackingFailed
FSR-0112,Component,"COMP-0073 PTRS tracking is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0073),PASS,FULLSTACK:PTRStrackingFailed
FSR-0113,Component,"COMP-0074 TS 38.215 measurements is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0074),PASS,FULLSTACK:TS38215measurementsFailed
FSR-0114,Component,"COMP-0075 CSI report Part1 Part2 is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0075),PASS,FULLSTACK:CSIreportPart1Part2Failed
FSR-0115,Component,"COMP-0076 Measured-only link adaptation is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0076),PASS,FULLSTACK:MeasuredonlylinkadaptationFailed
FSR-0116,Component,"COMP-0077 EESM MIESM calibration lookup is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0077),PASS,FULLSTACK:EESMMIESMcalibrationlookupFailed
FSR-0117,Component,"COMP-0078 OLLA state is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0078),PASS,FULLSTACK:OLLAstateFailed
FSR-0118,Component,"COMP-0079 Antenna geometry and pose is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0079),PASS,FULLSTACK:AntennageometryandposeFailed
FSR-0119,Component,"COMP-0080 Polarization and XPR is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0080),PASS,FULLSTACK:PolarizationandXPRFailed
FSR-0120,Component,"COMP-0081 Type-I codebook is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0081),PASS,FULLSTACK:TypeIcodebookFailed
FSR-0121,Component,"COMP-0082 RI selection is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0082),PASS,FULLSTACK:RIselectionFailed
FSR-0122,Component,"COMP-0083 PMI selection is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0083),PASS,FULLSTACK:PMIselectionFailed
FSR-0123,Component,"COMP-0084 CSI feedback authority is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0084),PASS,FULLSTACK:CSIfeedbackauthorityFailed
FSR-0124,Component,"COMP-0085 Precoder application is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0085),PASS,FULLSTACK:PrecoderapplicationFailed
FSR-0125,Component,"COMP-0086 High-rank probe is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0086),PASS,FULLSTACK:HighrankprobeFailed
FSR-0126,Component,"COMP-0087 Strict IRC covariance is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0087),PASS,FULLSTACK:StrictIRCcovarianceFailed
FSR-0127,Component,"COMP-0088 MU-MIMO is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0088),PASS,FULLSTACK:MUMIMOFailed
FSR-0128,Component,"COMP-0089 Multi-TRP is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0089),PASS,FULLSTACK:MultiTRPFailed
FSR-0129,Component,"COMP-0090 Hybrid beamforming is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0090),PASS,FULLSTACK:HybridbeamformingFailed
FSR-0130,Component,"COMP-0091 Beam state machine is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0091),PASS,FULLSTACK:BeamstatemachineFailed
FSR-0131,Component,"COMP-0092 Immutable geometry state is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0092),PASS,FULLSTACK:ImmutablegeometrystateFailed
FSR-0132,Component,"COMP-0093 Pathloss and LOS is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0093),PASS,FULLSTACK:PathlossandLOSFailed
FSR-0133,Component,"COMP-0094 NLOS state is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0094),PASS,FULLSTACK:NLOSstateFailed
FSR-0134,Component,"COMP-0095 O2I and materials is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0095),PASS,FULLSTACK:O2IandmaterialsFailed
FSR-0135,Component,"COMP-0096 Blockage and vehicle/material loss is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0096),PASS,FULLSTACK:BlockageandvehiclemateriallossFailed
FSR-0136,Component,"COMP-0097 Oxygen absorption is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0097),PASS,FULLSTACK:OxygenabsorptionFailed
FSR-0137,Component,"COMP-0098 TDL correlation is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0098),PASS,FULLSTACK:TDLcorrelationFailed
FSR-0138,Component,"COMP-0099 CDL arrays/polarization is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0099),PASS,FULLSTACK:CDLarrayspolarizationFailed
FSR-0139,Component,"COMP-0100 LSP spatial consistency is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0100),PASS,FULLSTACK:LSPspatialconsistencyFailed
FSR-0140,Component,"COMP-0101 Signed Doppler phase continuity is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0101),PASS,FULLSTACK:SignedDopplerphasecontinuityFailed
FSR-0141,Component,"COMP-0102 Absolute power/noise is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0102),PASS,FULLSTACK:AbsolutepowernoiseFailed
FSR-0142,Component,"COMP-0103 Sample-domain interference is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0103),PASS,FULLSTACK:SampledomaininterferenceFailed
FSR-0143,Component,"COMP-0104 Interference covariance is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0104),PASS,FULLSTACK:InterferencecovarianceFailed
FSR-0144,Component,"COMP-0105 Wraparound/topology is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0105),PASS,FULLSTACK:WraparoundtopologyFailed
FSR-0145,Component,"COMP-0106 Handover continuity is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0106),PASS,FULLSTACK:HandovercontinuityFailed
